ATTq589983: accountExpires
ATTm591131: accountNameHistory
ATTq590584: aCSAggregateTokenRatePerUser
ATTq590590: aCSAllocableRSVPBandwidth
ATTj590603: aCSCacheTimeout
ATTj590581: aCSDirection
ATTj590602: aCSDSBMDeadTime
ATTj590600: aCSDSBMPriority
ATTj590601: aCSDSBMRefresh
ATTi590594: aCSEnableACSService
ATTi590723: aCSEnableRSVPAccounting
ATTi590592: aCSEnableRSVPMessageLogging
ATTj590593: aCSEventLogLevel
ATTm590608: aCSIdentityName
ATTq590721: aCSMaxAggregatePeakRatePerUser
ATTj590585: aCSMaxDurationPerFlow
ATTj590725: aCSMaxNoOfAccountFiles
ATTj590598: aCSMaxNoOfLogFiles
ATTq590591: aCSMaxPeakBandwidth
ATTq590583: aCSMaxPeakBandwidthPerFlow
ATTj590726: aCSMaxSizeOfRSVPAccountFile
ATTj590599: aCSMaxSizeOfRSVPLogFile
ATTq591137: aCSMaxTokenBucketPerFlow
ATTq590582: aCSMaxTokenRatePerFlow
ATTq591138: aCSMaximumSDUSize
ATTq591141: aCSMinimumDelayVariation
ATTq591140: aCSMinimumLatency
ATTq591139: aCSMinimumPolicedSize
ATTq591144: aCSNonReservedMaxSDUSize
ATTq591145: aCSNonReservedMinPolicedSize
ATTq591142: aCSNonReservedPeakRate
ATTq591143: aCSNonReservedTokenSize
ATTq590604: aCSNonReservedTxLimit
ATTq590722: aCSNonReservedTxSize
ATTq590589: aCSPermissionBits
ATTm590596: aCSPolicyName
ATTj590588: aCSPriority
ATTm590724: aCSRSVPAccountFilesLocation
ATTm590597: aCSRSVPLogFilesLocation
ATTj590586: aCSServiceType
ATTm590580: aCSTimeOfDay
ATTj590587: aCSTotalNoOfFlows
ATTm591136: aCSServerList
ATTm590089: notes
ATTm590713: additionalTrustedServiceNames
ATTm131328: streetAddress
ATTb591068: addressBookRoots
ATTk131396: addressEntryDisplayTable
ATTk131472: addressEntryDisplayTableMSDOS
ATTm131689: homePostalAddress
ATTk131327: addressSyntax
ATTe131422: addressType
ATTm590438: adminContextMenu
ATTj589974: adminCount
ATTm131298: adminDescription
ATTm131266: adminDisplayName
ATTm591514: adminMultiselectPropertyPages
ATTm590386: adminPropertyPages
ATTc590737: allowedAttributes
ATTc590738: allowedAttributesEffective
ATTc590735: allowedChildClasses
ATTc590736: allowedChildClassesEffective
ATTm590691: altSecurityIdentities
ATTm591032: aNR
ATTj590672: appSchemaVersion
ATTm590042: applicationName
ATTm590165: appliesTo
ATTm590107: assetNumber
ATTb590476: assistant
ATTk591037: assocNTAccount
ATTf1376293: associatedDomain
ATTb1376294: associatedName
ATTk58: attributeCertificateAttribute
ATTm590572: attributeDisplayNames
ATTc131102: attributeID
ATTk589973: attributeSecurityGUID
ATTc131104: attributeSyntax
ATTm1572869: attributeTypes
ATTk1376311: audio
ATTk590026: auditingPolicy
ATTj589835: authenticationOptions
ATTk38: authorityRevocationList
ATTc131423: auxiliaryClass
ATTq589873: badPasswordTime
ATTj589836: badPwdCount
ATTk590156: birthLocation
ATTb590644: bridgeheadServerListBL
ATTb590643: bridgeheadTransportList
ATTm1376304: buildingName
ATTq589837: builtinCreationTime
ATTq589838: builtinModifiedCount
ATTm15: businessCategory
ATTj590108: bytesPerMinute
ATTk37: cACertificate
ATTm590521: cACertificateDN
ATTm590511: cAConnect
ATTm590514: cAUsages
ATTm590512: cAWEBURL
ATTm590639: canUpgradeScript
ATTm590740: canonicalName
ATTm1441793: carLicense
ATTm590499: catalogs
ATTm590496: categories
ATTk590146: categoryId
ATTb590508: certificateAuthorityObject
ATTk39: certificateRevocationList
ATTm590647: certificateTemplates
ATTm590434: classDisplayName
ATTj589840: codePage
ATTm589843: cOMClassID
ATTm590073: cOMCLSID
ATTm589844: cOMInterfaceID
ATTm590077: cOMOtherProgId
ATTm589845: cOMProgID
ATTm590075: cOMTreatAsClassId
ATTm590078: cOMTypelibId
ATTm590074: cOMUniqueLIBID
ATTm131153: info
ATTm3: cn
ATTm131218: company
ATTi589848: contentIndexingAllowed
ATTm590323: contextMenu
ATTk590024: controlAccessRights
ATTj131207: cost
ATTj589849: countryCode
ATTm6: c
ATTm590634: createDialog
ATTl1638401: createTimeStamp
ATTm590636: createWizardExt
ATTq589850: creationTime
ATTm590322: creationWizard
ATTm590503: creator
ATTb590513: cRLObject
ATTk590507: cRLPartitionedRevocationList
ATTk40: crossCertificatePair
ATTk590161: currMachineId
ATTk590159: currentLocation
ATTb590520: currentParentCA
ATTk589851: currentValue
ATTk589879: dBCSPwd
ATTb590037: defaultClassStore
ATTb590304: defaultGroup
ATTi590342: defaultHidingValue
ATTb589881: defaultLocalPolicyObject
ATTb590607: defaultObjectCategory
ATTj590056: defaultPriority
ATTm590048: defaultSecurityDescriptor
ATTk53: deltaRevocationList
ATTm131213: department
ATTm1441794: departmentNumber
ATTm13: description
ATTm590170: desktopProfile
ATTf27: destinationIndicator
ATTk590539: dhcpClasses
ATTq590524: dhcpFlags
ATTm590525: dhcpIdentification
ATTf590530: dhcpMask
ATTq590543: dhcpMaxKey
ATTm590527: dhcpObjDescription
ATTm590526: dhcpObjName
ATTk590538: dhcpOptions
ATTk590542: dhcpProperties
ATTf590531: dhcpRanges
ATTf590533: dhcpReservations
ATTf590528: dhcpServers
ATTf590532: dhcpSites
ATTf590541: dhcpState
ATTf590529: dhcpSubnets
ATTj590523: dhcpType
ATTq590522: dhcpUniqueKey
ATTq590544: dhcpUpdateTime
ATTm131085: displayName
ATTf131425: displayNamePrintable
ATTm1572866: dITContentRules
ATTm590085: division
ATTb131108: dMDLocation
ATTm131670: dmdName
ATTb591066: dNReferenceUpdate
ATTi590202: dnsAllowDynamic
ATTi590203: dnsAllowXFR
ATTm590443: dNSHostName
ATTj590205: dnsNotifySecondaries
ATTk591130: dNSProperty
ATTk590206: dnsRecord
ATTm589852: dnsRoot
ATTj590204: dnsSecureSecondaries
ATTi591238: dNSTombstoned
ATTb1376270: documentAuthor
ATTm1376267: documentIdentifier
ATTm1376271: documentLocation
ATTm1376312: documentPublisher
ATTm1376268: documentTitle
ATTm1376269: documentVersion
ATTb590492: domainCAs
ATTm1376281: dc
ATTb590296: domainCrossRef
ATTb590510: domainID
ATTj590579: domainIdentifier
ATTb589856: domainPolicyObject
ATTb590246: domainPolicyReference
ATTm589982: domainReplica
ATTk590245: domainWidePolicy
ATTm1376261: drink
ATTm590053: driverName
ATTj590100: driverVersion
ATTl591181: dSCorePropagationData
ATTm131284: dSHeuristics
ATTj591168: dSUIAdminMaximum
ATTm591167: dSUIAdminNotification
ATTj591169: dSUIShellMaximum
ATTk131146: dSASignature
ATTb590361: dynamicLDAPServer
ATTm1376259: mail
ATTk590092: eFSPolicy
ATTm589859: employeeID
ATTm131682: employeeNumber
ATTm131685: employeeType
ATTi131629: Enabled
ATTi589860: enabledConnection
ATTm590649: enrollmentProviders
ATTj1769475: entryTTL
ATTm590733: extendedAttributeInfo
ATTi131452: extendedCharsAllowed
ATTm590732: extendedClassInfo
ATTm131299: extensionName
ATTm591511: extraColumns
ATTm23: facsimileTelephoneNumber
ATTm590640: fileExtPriority
ATTj589862: flags
ATTm590335: flatName
ATTq589863: forceLogoff
ATTk590180: foreignIdentifier
ATTm590506: friendlyNames
ATTi590734: fromEntry
ATTb589864: fromServer
ATTb590693: frsComputerReference
ATTb590694: frsComputerReferenceBL
ATTm590695: fRSControlDataCreation
ATTm590696: fRSControlInboundBacklog
ATTm590697: fRSControlOutboundBacklog
ATTm590308: fRSDirectoryFilter
ATTj590314: fRSDSPoll
ATTk590360: fRSExtensions
ATTm590315: fRSFaultCondition
ATTm590307: fRSFileFilter
ATTj590698: fRSFlags
ATTj590358: fRSLevelLimit
ATTb590699: fRSMemberReference
ATTb590700: fRSMemberReferenceBL
ATTj590701: fRSPartnerAuthLevel
ATTb590702: fRSPrimaryMember
ATTk590357: fRSReplicaSetGUID
ATTj589855: fRSReplicaSetType
ATTm590311: fRSRootPath
ATTp590359: fRSRootSecurity
ATTm590324: fRSServiceCommand
ATTm590703: fRSServiceCommandStatus
ATTm590312: fRSStagingPath
ATTl590704: fRSTimeLastCommand
ATTl590705: fRSTimeLastConfigChange
ATTj590309: fRSUpdateTimeout
ATTm590706: fRSVersion
ATTk589867: fRSVersionGUID
ATTm590310: fRSWorkingPath
ATTb590193: fSMORoleOwner
ATTj131373: garbageCollPeriod
ATTi589865: generatedConnection
ATTm44: generationQualifier
ATTm42: givenName
ATTb591069: globalAddressList
ATTc131094: governsID
